Кол-во вершин;Конфигурация графа;Диаметр;Средний путь;Время (мкс);Кол-во соединений
309;C(309, 9, 83, 149);7;4.55195;151915732;927
309;C(309, 10, 23, 150);7;4.55195;151915732;927
309;C(309, 10, 38, 148);7;4.55195;151915732;927
309;C(309, 10, 64, 66);7;4.55195;151915732;927
309;C(309, 10, 96, 130);7;4.55195;151915732;927
309;C(309, 10, 104, 149);7;4.55195;151915732;927
309;C(309, 10, 106, 151);7;4.55195;151915732;927
309;C(309, 11, 18, 143);7;4.55195;151915732;927
309;C(309, 11, 20, 101);7;4.55195;151915732;927
309;C(309, 11, 21, 50);7;4.55195;151915732;927
309;C(309, 11, 51, 115);7;4.55195;151915732;927
309;C(309, 11, 71, 133);7;4.55195;151915732;927
309;C(309, 11, 118, 144);7;4.55195;151915732;927
309;C(309, 12, 58, 124);7;4.55195;151915732;927
309;C(309, 12, 61, 76);7;4.55195;151915732;927
309;C(309, 12, 82, 148);7;4.55195;151915732;927
309;C(309, 12, 130, 145);7;4.55195;151915732;927
309;C(309, 13, 20, 76);7;4.55195;151915732;927
309;C(309, 13, 24, 145);7;4.55195;151915732;927
309;C(309, 13, 31, 81);7;4.55195;151915732;927
309;C(309, 13, 63, 140);7;4.55195;151915732;927
309;C(309, 13, 101, 112);7;4.55195;151915732;927
309;C(309, 14, 22, 85);7;4.55195;151915732;927
309;C(309, 14, 26, 37);7;4.55195;151915732;927
309;C(309, 14, 34, 93);7;4.55195;151915732;927
309;C(309, 14, 40, 115);7;4.55195;151915732;927
309;C(309, 14, 51, 127);7;4.55195;151915732;927
309;C(309, 14, 94, 99);7;4.55195;151915732;927
309;C(309, 14, 111, 133);7;4.55195;151915732;927
309;C(309, 15, 52, 124);7;4.55195;151915732;927
309;C(309, 15, 82, 154);7;4.55195;151915732;927
309;C(309, 16, 18, 83);7;4.55195;151915732;927
309;C(309, 16, 19, 53);7;4.55195;151915732;927
309;C(309, 16, 25, 69);7;4.55195;151915732;927
309;C(309, 16, 30, 101);7;4.55195;151915732;927
309;C(309, 16, 46, 118);7;4.55195;151915732;927
309;C(309, 16, 138, 152);7;4.55195;151915732;927
309;C(309, 17, 37, 115);7;4.55195;151915732;927
309;C(309, 17, 47, 135);7;4.55195;151915732;927
309;C(309, 17, 54, 70);7;4.55195;151915732;927
309;C(309, 17, 59, 128);7;4.55195;151915732;927
309;C(309, 17, 67, 145);7;4.55195;151915732;927
309;C(309, 17, 84, 88);7;4.55195;151915732;927
309;C(309, 18, 20, 119);7;4.55195;151915732;927
309;C(309, 18, 40, 92);7;4.55195;151915732;927
309;C(309, 19, 24, 49);7;4.55195;151915732;927
309;C(309, 19, 26, 48);7;4.55195;151915732;927
309;C(309, 19, 34, 134);7;4.55195;151915732;927
309;C(309, 20, 49, 117);7;4.55195;151915732;927
309;C(309, 20, 128, 132);7;4.55195;151915732;927
309;C(309, 21, 22, 73);7;4.55195;151915732;927
309;C(309, 21, 53, 92);7;4.55195;151915732;927
309;C(309, 21, 125, 133);7;4.55195;151915732;927
309;C(309, 22, 23, 36);7;4.55195;151915732;927
309;C(309, 22, 40, 107);7;4.55195;151915732;927
309;C(309, 22, 42, 100);7;4.55195;151915732;927
309;C(309, 22, 43, 142);7;4.55195;151915732;927
309;C(309, 22, 79, 102);7;4.55195;151915732;927
309;C(309, 23, 64, 72);7;4.55195;151915732;927
309;C(309, 23, 90, 100);7;4.55195;151915732;927
309;C(309, 23, 98, 154);7;4.55195;151915732;927
309;C(309, 23, 127, 131);7;4.55195;151915732;927
309;C(309, 24, 61, 116);7;4.55195;151915732;927
309;C(309, 24, 122, 152);7;4.55195;151915732;927
309;C(309, 25, 44, 86);7;4.55195;151915732;927
309;C(309, 25, 49, 91);7;4.55195;151915732;927
309;C(309, 25, 61, 95);7;4.55195;151915732;927
309;C(309, 25, 66, 97);7;4.55195;151915732;927
309;C(309, 25, 83, 132);7;4.55195;151915732;927
309;C(309, 25, 144, 149);7;4.55195;151915732;927
309;C(309, 26, 29, 126);7;4.55195;151915732;927
309;C(309, 26, 40, 152);7;4.55195;151915732;927
